replan_id,step,trigger,reason,position,old_path_length,new_path_length,old_path_cost,new_path_cost,compute_time_ms,expansions,success,conflict_count,parent_event_id
cb2cc26bc3b4,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
4ff36be675c0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
eb9b817a1881,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
c366c029b846,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
8b6bade92fec,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
5f340ced9ab7,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
12deb7cc2f17,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
269105ac82b5,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012920936569571495,0,False,0,
c8e476908682,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
005abcc7c82f,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
0c777308a55f,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014581019058823586,0,False,0,
4402f0033b00,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012920936569571495,0,False,0,
0f5d20abfcec,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
ea55f7890f4b,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
e4b91f39c526,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
0ee7e9de2513,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013330718502402306,0,False,0,
5d4e76cef5bf,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001291045919060707,0,False,0,
fa58be341206,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
ba88aebf88fc,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
c415ef313fc9,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013330718502402306,0,False,0,
ac5c36fc3285,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
06d56ebfd887,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
67fd1b4d66ef,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
35da2e67c58f,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
5d307fa9288c,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
f74c17038393,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
2f80bdcda0e1,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
6839937c7ee8,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014579854905605316,0,False,0,
7adc5c258e0e,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0029579969123005867,0,False,0,
b91da0a74417,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.00229093711823225,0,False,0,
a94a266ef6a3,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001959037035703659,0,False,0,
c5d05c6414d9,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0017499551177024841,0,False,0,
95dd51975080,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0016249250620603561,0,False,0,
bb2b5f970373,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001500011421740055,0,False,0,
459fd64db0a6,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0015419209375977516,0,False,0,
51eb1fdc9dc5,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014579854905605316,0,False,0,
b5b6ae834d0c,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
66bb936de969,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001500011421740055,0,False,0,
145969494f4a,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0015420373529195786,0,False,0,
31761eefc6d0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
681973dd2a6c,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001375097781419754,0,False,0,
6058f6f7b125,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
4811eb851942,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0015830155462026596,0,False,0,
221a223370f8,0,initial,initial_plan,"[18, 41]",0,15,0.0,15.0,0.1722919987514615,39,True,0,
3f04d4d45eaa,157,cadence,interval_10,"[23, 41]",15,10,15.0,10.0,0.08904095739126205,23,True,0,
a437985f90db,0,initial,initial_plan,"[29, 44]",0,35,0.0,35.0,0.5746670067310333,176,True,0,
a8bf9926ad51,167,cadence,interval_10,"[28, 44]",35,34,35.0,34.0,0.5547499749809504,173,True,0,
5c76032715be,177,cadence,interval_10,"[21, 41]",34,24,34.0,24.0,0.10062509682029486,23,True,0,
26128ff387e0,187,cadence,interval_10,"[21, 31]",24,14,24.0,14.0,0.05729100666940212,13,True,0,
37c02bf766d0,197,cadence,interval_10,"[21, 21]",14,4,14.0,4.0,0.01637497916817665,3,True,0,
