scenario_id,planner_id,seed,fog_condition,success,path_length,executed_steps,replans,computation_time_ms
osm_piraeus_flood_rescue_medium,periodic_replan,5,fog_off,True,323,374,38,36871.79
osm_piraeus_flood_rescue_medium,astar,9,fog_off,False,245,2001,0,166356.06
osm_piraeus_flood_rescue_medium,periodic_replan,8,fog_off,True,240,282,31,25818.82
osm_piraeus_flood_rescue_medium,periodic_replan,9,fog_off,True,245,279,28,25658.6
osm_piraeus_flood_rescue_medium,periodic_replan,6,fog_off,True,596,742,75,78245.8
osm_piraeus_flood_rescue_medium,aggressive_replan,3,fog_off,True,144,183,39,16978.47
osm_piraeus_flood_rescue_medium,aggressive_replan,0,fog_off,True,171,684,46,61474.3
osm_piraeus_flood_rescue_medium,aggressive_replan,2,fog_off,True,447,503,98,53041.97
osm_piraeus_flood_rescue_medium,aggressive_replan,5,fog_off,True,315,360,66,37075.76
osm_piraeus_flood_rescue_medium,periodic_replan,4,fog_off,True,588,1559,52,167487.52
osm_piraeus_flood_rescue_medium,aggressive_replan,8,fog_off,True,240,278,50,28016.44
osm_piraeus_flood_rescue_medium,aggressive_replan,6,fog_off,True,596,657,123,72468.78
osm_piraeus_flood_rescue_medium,dstar_lite,0,fog_off,True,171,171,2,13618.65
osm_piraeus_flood_rescue_medium,aggressive_replan,9,fog_off,True,245,282,56,27419.51
osm_piraeus_flood_rescue_medium,periodic_replan,7,fog_off,True,620,1691,95,201937.2
osm_piraeus_flood_rescue_medium,dstar_lite,1,fog_off,True,486,486,4,46062.48
osm_piraeus_flood_rescue_medium,dstar_lite,3,fog_off,True,144,183,1,20436.26
osm_piraeus_flood_rescue_medium,aggressive_replan,1,fog_off,True,486,1793,208,200703.07
osm_piraeus_flood_rescue_medium,dstar_lite,2,fog_off,True,457,457,1,50908.27
osm_piraeus_flood_rescue_medium,dstar_lite,5,fog_off,True,315,315,0,26950.21
osm_piraeus_flood_rescue_medium,dstar_lite,8,fog_off,True,240,240,0,19936.41
osm_piraeus_flood_rescue_medium,aggressive_replan,4,fog_off,True,588,1771,179,204988.38
osm_piraeus_flood_rescue_medium,dstar_lite,4,fog_off,True,588,616,3,57053.04
osm_piraeus_flood_rescue_medium,dstar_lite,6,fog_off,True,596,596,2,52288.08
osm_piraeus_flood_rescue_medium,aggressive_replan,7,fog_off,True,590,1454,175,178380.4
osm_piraeus_flood_rescue_medium,dstar_lite,9,fog_off,True,245,282,1,28191.93
osm_piraeus_flood_rescue_medium,apf,3,fog_off,True,144,183,2,17220.79
osm_piraeus_flood_rescue_medium,apf,0,fog_off,True,189,684,6,63649.39
osm_piraeus_flood_rescue_medium,apf,5,fog_off,True,1575,367,2,37447.91
osm_piraeus_flood_rescue_medium,dstar_lite,7,fog_off,True,590,1501,2,154760.96
osm_piraeus_flood_rescue_medium,apf,8,fog_off,True,240,240,0,19505.43
osm_piraeus_flood_rescue_medium,apf,9,fog_off,True,245,245,0,19476.47
osm_piraeus_flood_rescue_medium,apf,2,fog_off,True,1139,1454,3,149968.83
osm_piraeus_flood_rescue_medium,apf,7,fog_off,True,1078,1054,3,106262.3
