scenario_id,planner_id,num_seeds,success_count,success_rate,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_ci_lower,path_length_ci_upper,planning_time_mean_ms,planning_time_std_ms,replans_mean,replans_std,collision_mean,collision_rate,nfz_violation_mean,nfz_violation_rate,fire_exposure_mean,traffic_proximity_mean,intruder_proximity_mean,regret_length_mean,regret_length_std,regret_risk_mean,regret_risk_std,oracle_planner_id
osm_athens_infrastructure_patrol_easy_downtown,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,21.153541980311275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_infrastructure_patrol_medium_downtown,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,16.6934160515666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_infrastructure_patrol_medium_downtown,theta_star,1,1,1.0,259.0,0.0,259.0,259.0,259.0,259.0,8.616041974164546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_infrastructure_patrol_medium_downtown,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,16.303209005855024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_easy_piraeus,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,79.4280000263825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_easy_piraeus,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,62.45712505187839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_easy_piraeus,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,79.6462920261547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_medium_piraeus,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,90.14170791488141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_medium_piraeus,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,57.49279202427715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_port_security_medium_piraeus,adaptive_astar,1,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_easy_penteli,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,51.03645799681544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_easy_penteli,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,14.94895899668336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_easy_penteli,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,50.949124968610704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_medium_penteli,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,45.263499952852726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_medium_penteli,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,13.158209039829671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_search_rescue_medium_penteli,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,53.08733298443258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_downtown,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,22.834625095129013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_downtown,theta_star,1,1,1.0,259.0,0.0,259.0,259.0,259.0,259.0,11.103875003755093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_downtown,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,28.292665956541896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_penteli,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,69.32324997615069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_penteli,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,12.730375048704445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_easy_penteli,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,61.841708957217634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_medium_penteli,astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,54.39520801883191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_medium_penteli,theta_star,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,12.92624999769032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
osm_athens_wildfire_wui_medium_penteli,adaptive_astar,1,1,1.0,257.0,0.0,257.0,257.0,257.0,257.0,69.56612505018711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_easy,astar,1,1,1.0,31.0,0.0,31.0,31.0,31.0,31.0,0.6503750337287784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_easy,theta_star,1,1,1.0,37.0,0.0,37.0,37.0,37.0,37.0,0.6874169921502471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_easy,adaptive_astar,1,1,1.0,31.0,0.0,31.0,31.0,31.0,31.0,0.6644160021096468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_hard,astar,1,1,1.0,22.0,0.0,22.0,22.0,22.0,22.0,0.17745804507285357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_hard,theta_star,1,1,1.0,24.0,0.0,24.0,24.0,24.0,24.0,0.24966697674244642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_hard,adaptive_astar,1,1,1.0,22.0,0.0,22.0,22.0,22.0,22.0,0.16454095020890236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_medium,astar,1,1,1.0,208.0,0.0,208.0,208.0,208.0,208.0,22.33641699422151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_medium,theta_star,1,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
urban_medium,adaptive_astar,1,1,1.0,208.0,0.0,208.0,208.0,208.0,208.0,18.531625042669475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,astar
